X index=152  Silence=25 	 Ade=5.00 	 Gua=5.00 	 Thy=11.00 	 Cyt=4.00 
X index=3931  Silence=75 	 Ade=17.00 	 Gua=12.00 	 Thy=32.00 	 Cyt=14.00 
X index=3931  Silence=100 	 Ade=26.00 	 Gua=15.00 	 Thy=43.00 	 Cyt=16.00 
X index=10742  Silence=25 	 Ade=14.00 	 Gua=2.00 	 Thy=6.00 	 Cyt=3.00 
X index=10742  Silence=50 	 Ade=20.00 	 Gua=4.00 	 Thy=16.00 	 Cyt=10.00 
X index=10742  Silence=75 	 Ade=27.00 	 Gua=8.00 	 Thy=26.00 	 Cyt=14.00 
X index=10742  Silence=100 	 Ade=35.00 	 Gua=11.00 	 Thy=37.00 	 Cyt=17.00 
X index=14374  Silence=25 	 Ade=9.00 	 Gua=4.00 	 Thy=10.00 	 Cyt=2.00 
X index=14374  Silence=50 	 Ade=16.00 	 Gua=11.00 	 Thy=17.00 	 Cyt=6.00 
X index=14374  Silence=75 	 Ade=24.00 	 Gua=16.00 	 Thy=23.00 	 Cyt=12.00 
X index=14374  Silence=100 	 Ade=31.00 	 Gua=25.00 	 Thy=29.00 	 Cyt=15.00 
X index=16268  Silence=25 	 Ade=5.00 	 Gua=3.00 	 Thy=14.00 	 Cyt=3.00 
X index=16268  Silence=50 	 Ade=14.00 	 Gua=7.00 	 Thy=20.00 	 Cyt=9.00 
X index=16268  Silence=75 	 Ade=21.00 	 Gua=9.00 	 Thy=31.00 	 Cyt=14.00 
X index=16268  Silence=100 	 Ade=27.00 	 Gua=14.00 	 Thy=40.00 	 Cyt=19.00 
X index=18129  Silence=25 	 Ade=14.00 	 Gua=1.00 	 Thy=8.00 	 Cyt=2.00 
X index=18129  Silence=50 	 Ade=22.00 	 Gua=4.00 	 Thy=16.00 	 Cyt=8.00 
X index=18129  Silence=75 	 Ade=30.00 	 Gua=10.00 	 Thy=27.00 	 Cyt=8.00 
X index=18129  Silence=100 	 Ade=39.00 	 Gua=13.00 	 Thy=38.00 	 Cyt=10.00 
